,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
DXPS,1.429545827039545,1.4407171917858435,1.320042688557586,1.2616101996329516,1.0,0.9478029035106835,1.0651460164326179,0.8836848593511084,0.8072897506005002,1.6929225573219226,1.4284830822994916,1.4139870920121318,0.9917630263741961,1.1450269653321359,0.9997849998912401,1.1448997179133595,1.011543828055716,0.8534963611164316,0.9806154334248163,0.9204423041872406,0.8833859316470379,1.9769386149926387,1.9555225090087696,1.8337584066994803
MALIC-NADP-RXN,1.0398725641835367,1.1010220563205932,1.113179828384958,1.1311232486484935,1.0,0.9067520709103191,0.939686614632129,0.9355300502967353,0.8504884923407966,1.3005496404491623,1.1680518409795302,1.1550039701775474,0.753048472114854,0.730170328595701,0.7488937658611928,0.9338249914947928,0.8967681443127702,1.0720233948688391,1.1026566013416697,1.00990071879169,1.0227711265021104,1.6747190000067476,1.5476541876049321,1.5316736980238035
DDPGA,1.4605416728043694,1.1117476274825844,1.6681945295662333,1.188494338021553,1.0,1.0032249069326444,1.607383272522519,1.5123628851721682,1.3689464690253794,1.0429998804367862,1.347931776623507,1.3053219491227168,1.92770960208928,1.4799326199394802,1.5659206431738493,1.8931068621826883,1.5206260772006963,1.922217422668495,1.9939176357015829,1.494658161169844,1.4708558125932492,2.124054266971378,1.2646220467651168,1.3410967864216983
PAPSR,2.0131938391299102,1.896464278156352,2.146315646452808,1.441625273549732,1.0,0.9557911056186217,1.295159925985217,1.049469901609898,1.04293221830647,1.6704195324426743,1.3073900651547934,1.4931011568753751,4.406190603510938,3.7589797459776078,3.5319928407623333,2.4327310109797,2.4690756571901913,2.0957081430396505,2.1974797203719283,1.895641318811763,1.5933511723469478,4.806906355566678,2.037309781845161,1.3598065636524435
SULFATE-ADENYLYLTRANS-RXN,0.6007297627107157,0.5925966990333404,0.5264846048480825,1.0018499346240959,1.0,1.0497779262829614,0.8314027056387084,0.8253581858011828,0.8097935237703074,1.1537836873981957,1.0817807235772754,0.9121262451047035,0.228930782598738,0.2474977425422295,0.21429140057111282,0.5856047847568975,0.5199930003848794,0.552055851868345,0.6097627497488204,0.6837758589983891,0.635116647080151,1.565094973601835,1.2750680729888044,1.3089659249666274
DEPHOSPHOCOAKIN-RXN,1.0605374666824638,0.7890049935331891,1.0957783741308027,1.3094998703764613,1.0,0.7004498223937441,0.9169201877282731,0.8236246522801773,1.335694604726632,0.5725320870637521,0.9365326911115307,0.8276256038924363,0.6240190173573154,0.5915327009635533,0.8176154394967097,0.9261994512385091,0.7013053567284322,0.661851981787088,1.1066260038959603,0.8526169613932395,1.0528718594074917,0.9442844672693248,1.1341642717592435,1.2123286027006746
RXN-9615,0.34302959903108066,0.39959624056422366,0.31546363117026144,1.0210987734969168,1.0,0.883478928734313,0.6208864020900875,0.6147563285073007,0.5617489398854719,1.190239707332746,0.9629181606581093,0.731906471064764,0.1811743445398942,0.16971045560485926,0.1534415980025261,1.091165576180194,0.809464541474968,0.7692200550586903,0.5511691072031895,0.6000616592706819,0.5800814412669848,1.143604779268399,0.8274006055985985,0.7040502349833069
PC11M,0.405408799735707,0.5465553513808283,0.4940300048104242,0.9095747724998974,1.0,0.9417329772333204,0.7184430729032278,0.6998140713034541,0.7359190133008465,0.6656913470207753,0.6607792063679234,0.5207848187625795,0.3084463748729273,0.2713483339589403,0.2680112625790574,0.765726066395206,0.6431629465361332,0.7176124050510939,0.6720359803652238,0.6933368695220279,0.8237503942270588,1.0041503463888004,0.9425130312172956,0.7133383521877342
DPOR,1.5799858159761593,1.851450908216539,1.5175019779586203,0.795514358262145,1.0,1.0001178447892427,0.8499421649368696,1.178537797976154,1.3643582196065158,1.7385224492768436,1.6924999533608136,2.310999368033581,1.8272550992624261,2.2564351512846117,2.0416050741203575,1.0505458941626133,1.1057170526942248,1.588801243882433,1.1315179768387753,1.455405880683171,1.4517719057241776,0.5305081312934092,0.8922141962107193,0.9936071180261197
ARGSUCCINLYA-RXN,0.6089860892941599,0.5461112113625939,0.5799889344190658,0.8983231765493512,1.0,0.8953022275375067,0.9473219596975427,1.059920352168872,0.8983011639273389,0.7028332390393864,0.8789713833977914,0.5572895919033632,0.5263678568302679,0.572945249994913,0.5621504173416305,1.0104547961656685,1.0315172768399354,0.7596519595317127,0.8655825361640663,0.9021128547981795,0.8821923548979123,0.8535313272812224,0.789930706252305,0.7354755795723684
