Reaction_ID,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
ERTHMMOR,1.0,0.9886029581321393,1.0454082379191891,0.9303591655058799,0.8451764282286827,0.7687802650753125,1.0349880456202953,0.9234706538638345,0.8932719525503879,1.2607924756671345,1.2700707662292796,1.3641741498976994,2.3461278230114444,2.6998736788964286,2.698089577684258,1.1446297926717823,1.1192831195864414,0.9589474666195327,1.0001004627492933,0.8687946600150049,0.812909315976717,0.8367771765725529,0.8748469575596401,0.8010350798930308
AFAT,1.0,0.988751646078791,1.0695965056321937,0.4148399212990721,0.44242634580068585,0.378221766332739,0.8169569074743122,0.6991953147149748,0.7017261169391619,1.592038594932376,1.6486945586173,1.8987442537230683,1.86957926977602,2.11721962968233,1.9818854460481907,0.5982035844074749,0.6048420672203358,0.6658087059417377,0.9955775369248145,0.7958385430842208,0.8270481597184322,0.8340295890481756,0.9076923639711252,0.9898685918181414
DADK,1.0,1.0309900230096236,1.0699492394030465,4.085630409601388,4.180407778751729,4.130966335284021,1.4999374229187707,1.9056307267931432,2.5104190051321136,3.5250652951326775,3.470939846841285,2.7415076382312904,0.6205459956514794,0.5863346046718977,0.544620947090301,4.0351703278251625,3.8166345702828486,3.8669479960874527,2.0882189419145374,2.9792148115802077,3.218630846466611,3.914125627779766,3.7650448443096445,3.209117117579859
G1SAT,1.0,1.0445568739849094,0.9574648638181654,1.0860752447433706,1.0486129899925158,0.927201844596492,1.0608177843334496,1.023426931784717,0.8963031303950321,1.2746269893995181,1.1419260354095295,1.0243840297452054,0.6102349464482771,0.6831733836174849,0.6291515434698286,0.9304627602386432,0.8860933756086669,0.8897948913860699,0.9031693197638309,0.8771642747087313,0.8610781783310058,1.1599549530262785,1.2423170414038738,1.1438043758306646
UAAGDS,1.0,1.0881576667918897,0.8620814913490549,0.6846225279053358,0.7940658876925638,0.7966790169090114,0.5946119481718447,0.5742026503501348,0.6457217727601047,0.8533357794572063,0.7842953790514032,0.6755713132949379,0.6993742977034209,0.7145565000510986,0.6852807897393919,0.47290489228473237,0.4923276906884288,0.5370297147858221,0.47571812459728835,0.45364505992008775,0.4970255611120068,0.5398384752441041,0.7092413202800488,0.7152060460698354
HEX1,1.0,0.8854256439906032,0.9431563717771808,1.0839786050137636,0.7339163154291769,0.7732644688367091,0.9243793771696959,0.686761296636427,0.7004048462683543,1.1081149687810594,0.9823658694573617,1.051969540447521,0.7754203937076675,0.8063491378721968,0.7934908711555213,1.0365305458839376,0.9219244072540884,0.7215128836641245,1.0046167355595343,0.9068678873900788,0.8303819241002945,1.3893198584756903,1.5767860883741776,1.5139962229893145
URIDK2r,1.0,0.8784106038844132,1.0533679030395888,0.9017845571955041,0.6923704908144527,0.6425080720948977,0.7458829678759232,0.7853365753290887,0.6538745390794679,0.9524808443866459,0.8023830139364376,1.0258969933875168,1.3195223207452906,1.2784769518247139,1.1666905129988898,1.0428446329685477,0.8403374886020659,0.7748312514302091,0.9672501312233555,0.6550425923925716,0.7761418173085418,0.8178517454427524,1.0975667873783508,0.8369040139078533
CHPHYS,1.0,0.9273648588533989,0.9909684388944933,2.0337552818987157,2.154114211079918,1.8774391516558433,1.534268929948617,2.005702514293814,1.93230706592659,1.17302546927211,1.2163725519961284,1.1710995388340957,0.6579842820999388,0.5566000290562271,0.6553440139447665,1.5729536520277971,2.028643321044479,1.9213068896091983,1.9368365258897953,2.115409163365554,2.168596871082728,2.01174388024823,1.2812599731427348,1.57190116847524
PIuabcpp,1.0,1.0769189264261347,0.6585329096729678,0.16004921449238757,0.15623743805763007,0.14352432575493662,0.15580113628295844,0.12873000827092548,0.12713825151140987,0.6821159070798082,0.5975148370047833,0.564205329028134,6.852752300932608,5.071338241756044,5.288562899316948,0.4804165920329833,0.5465670183518804,0.16794099383047506,0.19184193434146204,0.15478735927630288,0.14380619658771793,0.20371407336018238,0.18022302890411054,0.17177817968641
ARGDHpp,1.0,0.8279737984928464,0.7688963278212072,1.6464017864328249,1.6698330048570122,1.455053954046922,1.5565824830392792,1.4890927810484553,1.3288425600897085,1.593725819650469,1.525333594324719,1.2919161683004619,0.41601548969214314,0.4700038423197515,0.49918924975663737,1.5214003510936407,1.3962416567104383,1.2691632771810604,1.5000552751575367,1.534061348568373,1.4303591749082671,1.27305077003669,1.6955908227769538,1.822643216397423
