,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
SYNPCC7942_RS06390,28.04278649,20.17989884,23.06143892,40.1907341,32.84837885,34.05278888,23.21699256,36.16757646,31.01337733,21.08635707,29.42007311,27.21558163,16.81550955,28.70958816,36.16096037,59.95244498,37.09771616,41.94540547,18.25090471,15.92064785,9.103862836,32.40632997,35.2997381,17.87573981,29.78398807,28.45795659,41.421176,49.49176558,23.0841233,33.75980379
SYNPCC7942_RS06395,238.3636851,230.8580427,208.3765731,284.3494437,248.8513549,250.7523544,265.9400966,214.6720667,192.4968248,220.8518452,238.4040408,203.5725506,234.2960997,229.6767052,227.2974652,332.3450755,255.5620447,309.8547695,149.3870348,144.9616883,137.9585368,298.479355,245.3762282,231.5720839,212.4068623,254.1589917,243.2392463,358.4808966,241.8336727,222.1612895
SYNPCC7942_RS06400,2324.546694,2183.465054,2158.715407,2458.668158,3736.751946,3967.665855,2382.907691,2944.740741,3022.200149,2649.112334,2933.891429,2937.10557,3516.683563,3071.925933,2612.887679,2121.795227,2158.537485,1890.249402,1247.145155,1624.74401,1344.570511,1409.675354,1541.134907,2290.532297,1664.768175,2367.89825,2413.885129,1618.514496,1725.813028,1824.118431
SYNPCC7942_RS06405,38560.83448,46567.13456,39243.98005,49502.92719,65014.90499,72266.20941,42789.9726,54620.04062,57901.97547,62071.57638,64751.55195,61731.47088,69573.61023,56812.17359,52815.66555,39563.40043,38697.03992,37550.60944,18162.35402,21993.11811,19067.69056,31956.05254,33515.80987,61141.53043,32554.68275,45769.22598,45516.58461,29360.65552,38404.28646,44076.14642
SYNPCC7942_RS06410,68.10391004,41.97418958,39.53389528,83.39577325,63.70594686,50.56323197,136.1360018,91.00228914,70.58216909,56.60022162,57.82566095,40.27906082,73.98824201,85.10342203,66.12289896,50.82924683,56.33356898,96.06850931,61.51230846,65.35844908,63.72703985,182.4988056,137.7550755,117.0048424,97.18985582,57.89722204,97.82447948,94.9706853,59.3591742,38.11590751
SYNPCC7942_RS06415,269.4110559,238.1228063,235.5561261,260.2350033,272.741085,269.3266029,259.6081895,273.0068674,266.2872743,254.1460932,273.9110255,239.4971184,227.5698959,212.2458839,261.392085,179.857335,223.9602864,248.9662777,269.707814,288.247519,275.9170736,300.1849513,338.3609042,273.8238326,245.326007,220.7944908,257.3400721,228.7322139,207.7571097,250.4759636
SYNPCC7942_RS06420,258.3942469,213.0997317,244.6159771,175.8344617,153.2924346,152.7215986,157.2423587,134.1700417,145.4420454,204.2047211,203.9115412,186.1545784,130.0399405,165.0801319,204.5677187,190.2838471,244.5701288,262.4970536,357.5825404,326.7922454,307.430445,177.3820167,222.9910285,133.255515,185.7580309,148.1776361,171.8538153,197.9670623,214.3525735,226.5173932
SYNPCC7942_RS06425,1545.357841,1489.276534,1921.512035,5627.707542,4583.841958,4927.33536,3259.876819,3063.743735,3095.990599,4981.929311,5092.716105,4718.093232,2752.138396,3795.817691,4024.198304,8592.749343,10608.57283,10360.51515,305.533664,381.2576196,317.234605,2859.432221,3158.035106,2440.851018,2698.586077,2945.889162,2914.464447,6001.879788,5190.63001,5258.90621
SYNPCC7942_RS06430,745.1368981,770.8721356,851.6259943,1457.918879,1314.930559,1277.495534,1250.551645,985.8581324,961.4146971,1747.948021,1421.293877,1438.071334,1211.837721,1248.867085,1252.202399,2308.169132,2886.751913,2430.127362,256.1886253,316.7370994,280.8191536,1087.31765,1086.543158,1053.856115,1060.466733,968.5518331,964.1439689,1876.674246,1810.454813,1571.464415
SYNPCC7942_RS06435,1207.842875,1180.92768,1071.533287,1292.132101,1275.114343,1190.815708,956.1179663,977.6912603,966.7618311,1317.342413,1451.728435,1167.00414,1359.814205,1408.820505,1311.093106,1449.285192,1589.705837,1627.752348,803.7157665,884.0149202,790.6354724,1054.058522,1004.751082,936.8512729,821.4110395,919.4863907,836.3552345,1452.6502,1445.505816,1460.383771
