,Se_axen_d4_1,Se_axen_d6_3,Se_axen_d8_2
DCTPD2,0.0,0.0,0.0
CYOOum,0.0878305431820276,0.21265503999250407,0.18426459351831226
BPNT2,0.0,0.0,0.0
METS_1,0.0014019318146360979,0.0044738918316885685,0.0035167785733602177
PRUK,0.0,0.0,0.0
FNOR_1,0.017838120393549706,-0.9613746766765504,-0.72850293356886
GART,0.0001830602189293309,0.0,0.0
IPPMIb,0.0,0.0,0.0
DMTPHT,2.7670321216302974e-07,8.830245720757174e-07,6.941164452907077e-07
PC6YM_1,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
PGL,0.0,0.855657959109179,0.5740479222132191
DDPA,0.0053843079684623716,0.0171825841941225,0.013506661806359885
ASPCT,0.0025988633263292447,0.008293579820327697,0.006519309117399034
HSERTA,0.001245289384631025,0.003974009254819791,0.0031238373933623192
OMCDC,0.0,0.0,0.0
CYRDAAT,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
MECDPDHf,0.0018569189060796253,0.005925861899475825,0.0046581242776486675
Htcx,0.0,0.0,0.0
H2Otpp,-0.15038783588752438,-2.218861086598947,-1.886006901473097
